timestamp,src_bytes,dst_bytes,count,prediction
2026-05-20T09:40:29.732428,4199,1390,195,attack
2026-05-20T09:40:32.804245,290,1074,415,attack
2026-05-20T09:51:38.709170,1452,1436,149,normal
2026-05-20T09:51:43.658592,245,343,216,normal
2026-05-20T09:51:47.183775,453,1623,472,attack
2026-05-20T09:51:49.640743,2365,1288,179,normal
2026-05-20T09:51:52.682006,2625,101,188,normal
2026-05-20T09:51:56.077364,3667,168,299,normal
2026-05-20T09:51:58.678118,806,1435,158,normal
2026-05-20T09:52:02.084889,2203,566,409,attack
2026-05-20T09:52:04.655616,363,846,45,normal
2026-05-20T09:52:08.427893,3237,1617,351,normal
2026-05-20T09:52:10.679422,2167,1285,149,normal
2026-05-20T09:52:13.662466,4953,1317,429,attack
2026-05-20T09:52:17.179284,1750,661,425,attack
2026-05-20T09:52:19.617922,3189,1492,327,normal
2026-05-20T09:52:22.670948,4923,1869,259,attack
2026-05-20T09:52:25.655806,1904,1025,135,normal
2026-05-20T09:52:28.668694,2892,1131,31,normal
2026-05-20T09:52:31.686497,3172,192,234,normal
2026-05-20T09:52:34.759100,2064,1768,296,normal
2026-05-20T09:52:37.739028,2505,1869,366,normal
2026-05-20T09:52:40.574144,2492,1779,195,normal
2026-05-20T09:52:43.669941,855,584,380,normal
2026-05-20T09:52:47.050111,3922,202,1,normal
2026-05-20T09:52:49.705919,1724,1849,132,normal
2026-05-20T09:52:52.636226,4860,683,493,attack
2026-05-20T09:52:55.659561,2825,733,250,normal
2026-05-20T09:52:58.687641,3714,57,362,normal
2026-05-20T09:53:01.762874,1076,963,261,normal
2026-05-20T09:53:04.801741,4552,275,319,attack
2026-05-20T09:53:07.728508,4575,1197,15,attack
2026-05-20T09:53:10.779914,2556,149,110,normal
2026-05-20T09:53:13.812328,2709,1225,351,normal
